county_fips,county_name,workforce_base,pop_total_base,mig_mean_pct,mig_std_pct,state_fips,estimate_type,acs_overlap_note,wf_end_p5,wf_end_p10,wf_end_p25,wf_end_p50,wf_end_p75,wf_end_p90,wf_end_p95,wf_end_mean,annual_retirements_end,annual_entries_end,pct_change_end,wf_mid_p50,pct_change_mid,forecast_end_year,forecast_start_year
019,Chautauqua County,1819.0,3245.0,-2.0713862422911626,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1214.890938352366,1225.264959544482,1238.9460417180392,1255.6249128817863,1272.1658344349719,1287.6507684068094,1297.9775140805366,1255.9198703968964,27.04029284608875,27.537157795843942,-30.97,1447.6001133773586,-20.42,2035,2026
089,Jewell County,1384.0,2798.0,-2.0470668243402494,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,929.2086344696044,935.3550507440656,946.7217009497967,960.069522766435,972.2039494051112,983.4871546898733,990.6006229131802,959.9181682629732,20.343390523557453,23.16802790604834,-30.63,1096.3113139073719,-20.79,2035,2026
033,Comanche County,891.0,1747.0,-2.4934579093018,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,615.4599250551378,619.8194563993881,627.1223374128722,634.767045185102,643.066685211963,650.8398346214271,655.1514559810348,635.0612123203854,14.017917864088142,15.346863782463478,-28.76,735.3225350824819,-17.47,2035,2026
165,Rush County,1626.0,2944.0,-2.435186402212997,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1124.4892004986496,1131.061760766725,1145.0637985147243,1161.284813191958,1177.8079711361756,1190.8275203072817,1197.9767999969624,1161.253774390283,23.83928415212945,25.081769191495734,-28.58,1350.3851690158983,-16.95,2035,2026
207,Woodson County,1667.0,3019.0,-1.21440972508895,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1194.1754535126518,1202.839939634264,1217.9005890583207,1233.0642976411236,1249.9222242973888,1265.414964741349,1272.7126101662077,1233.7715083993698,27.905269629048227,25.368389978649766,-26.03,1376.2868683713305,-17.44,2035,2026
073,Greenwood County,3088.0,5728.0,-1.3950338031905045,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2211.7804729779255,2225.693298349493,2254.4853469863765,2286.2783016882686,2315.364272980254,2345.1678526442993,2363.3402572914815,2285.610506231482,52.43304514585912,47.98465120046169,-25.96,2572.2200385972137,-16.7,2035,2026
101,Lane County,725.0,1393.0,-1.0323622552606997,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,521.0809824378637,524.363064463063,530.838011537086,537.4159558301747,545.3594509845758,551.4803598351222,555.1786400769911,537.9111377974617,17.077261670621255,13.66628556830941,-25.87,610.9333807778181,-15.73,2035,2026
135,Ness County,1465.0,2573.0,-1.5230519472358766,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1053.5682860352179,1060.697060824221,1073.7465232851944,1088.3172333168231,1102.7298980067317,1116.324295247933,1122.9756374596243,1088.340792231032,21.707742842998286,19.38778427627722,-25.71,1227.858007826318,-16.19,2035,2026
141,Osborne County,1766.0,3314.0,-1.238054270639089,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1288.600298370997,1297.1130788933306,1313.4152600006228,1331.7020211995773,1349.7889656075126,1365.713498247556,1375.9271381376416,1331.5910666515692,29.888817939948943,29.068984024350513,-24.59,1482.114461987203,-16.08,2035,2026
025,Clark County,1023.0,1990.0,-2.665941575298792,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,747.7211271152997,753.491025866185,761.6131522213047,772.0187302280485,781.8353114512047,791.3350597833293,797.1026147588992,772.0256025576614,14.52134026875156,22.050375808596364,-24.53,869.677153296213,-14.99,2035,2026
047,Edwards County,1509.0,2645.0,-1.1239042218698874,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1115.7969075591473,1123.7877322337242,1136.9933567645273,1152.805925473161,1167.6841321192583,1183.1163377841592,1191.0832496792161,1152.8948215837079,26.35209584991162,22.98602299784336,-23.6,1286.9115367797872,-14.72,2035,2026
095,Kingman County,4129.0,6968.0,-1.2873871272165331,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,3066.392356246861,3088.1158155934245,3126.8676226478674,3168.2059914148467,3207.52876074707,3247.2632382657616,3275.551291138722,3168.3541726945477,66.78181077408209,61.59909525728521,-23.27,3532.013068919253,-14.46,2035,2026
097,Kiowa County,1311.0,2351.0,-1.7261054544846837,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,987.1065121133411,994.3872487881771,1006.0690334119884,1019.952782955251,1033.2586527760093,1044.9453060900405,1052.8697062971794,1019.847992059429,20.044885702687306,22.81902343434514,-22.2,1135.252978452666,-13.41,2035,2026
007,Barber County,2170.0,3996.0,-1.6430391511762403,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1639.1477643871551,1649.2382326704503,1670.334213305627,1693.3850230432945,1715.9065413108851,1737.90986893819,1751.3963443689804,1693.675327324593,32.645203979626366,37.278070417623944,-21.96,1878.5514913994564,-13.43,2035,2026
053,Ellsworth County,3740.0,6139.0,-0.8751720978716907,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2827.361596401724,2848.186662997749,2882.647981024331,2923.04018444,2963.0248803286313,3000.432817200499,3024.326664170769,2923.9415727948917,61.662670114167526,40.142439913169845,-21.84,3267.7766766041805,-12.63,2035,2026
145,Pawnee County,3819.0,6376.0,-1.1194734619128348,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2895.530354942104,2914.0668612437416,2948.586536548497,2990.2858563657664,3032.8725538047433,3068.758542608565,3093.3812332816906,2991.184495723834,61.369456287086436,49.41331611404543,-21.7,3326.2267742568847,-12.9,2035,2026
049,Elk County,1187.0,2575.0,-2.739471916962433,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,901.422514798237,907.1367976053614,918.2125353825627,930.350425347139,942.8814180145296,953.0514286671812,959.0906233500385,930.3621364635972,17.820039765767454,26.473612227123226,-21.62,1048.0525499561631,-11.71,2035,2026
125,Montgomery County,17339.0,30182.0,-1.5093444104551494,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,13186.071005774626,13273.155224661363,13422.444043084899,13600.361595330203,13783.486948550712,13955.255108230785,14056.262784916746,13607.482698665679,270.33020568271183,292.3015098990167,-21.56,15039.872096728945,-13.26,2035,2026
197,Wabaunsee County,3902.0,6589.0,-0.6197961476932636,0.5,20,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2973.581323123624,2997.810891120508,3035.5922849139865,3076.6444775898144,3119.6982764036447,3153.408491892666,3176.0347876275487,3076.2743744673435,67.36506181354474,51.543494080076144,-21.15,3380.589725158368,-13.36,2035,2026
