county_fips,county_name,workforce_base,pop_total_base,mig_mean_pct,mig_std_pct,state_fips,estimate_type,acs_overlap_note,wf_end_p5,wf_end_p10,wf_end_p25,wf_end_p50,wf_end_p75,wf_end_p90,wf_end_p95,wf_end_mean,annual_retirements_end,annual_entries_end,pct_change_end,wf_mid_p50,pct_change_mid,forecast_end_year,forecast_start_year
033,Dolores County,1315.0,2432.0,-2.6246847761472685,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,721.2681348500327,726.9367302232797,736.3091978823477,746.0150403588111,757.0402262836421,765.5754354073952,772.0968572078381,746.4226520899393,22.750553971202315,12.973507147401392,-43.27,952.5593972967126,-27.56,2035,2026
111,San Juan County,497.0,724.0,-3.2449319168388335,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,299.8665002214074,302.3974547890171,306.44934806510213,311.00778100905234,315.3192546627721,319.36626897828745,321.8932233294475,310.92804370511794,4.122215422150635,4.133633953274267,-37.42,378.2886921587648,-23.89,2035,2026
057,Jackson County,693.0,1372.0,-3.108878018831174,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,429.81214971660324,432.87043194492514,437.9217948195295,443.7642967786053,449.9076278274515,455.37473580570094,458.2307673287786,443.8878318264199,11.328759237463746,10.31673052761025,-35.96,543.746600071306,-21.54,2035,2026
061,Kiowa County,775.0,1376.0,-1.7535445793783526,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,529.0083550812135,532.449852106367,538.4586973165422,545.3790087151281,552.8973204948408,559.4914406262004,563.2956986619334,545.6403076812496,11.79214128202579,13.797428855619442,-29.63,607.2805729497894,-21.64,2035,2026
017,Cheyenne County,1013.0,1741.0,-2.313111044832961,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,694.5973315171258,700.5109683691021,708.2407534898422,717.6478202695394,726.9546918488576,735.3274931708629,741.1180799647593,717.7306182142892,15.605227476814905,17.615851749799432,-29.16,820.7316332685543,-18.98,2035,2026
027,Custer County,2790.0,5247.0,0.4069863517700442,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2097.579108540261,2113.359445566005,2139.1668512288743,2168.631957301366,2199.378758751206,2225.177415727958,2241.150895287299,2169.177630217227,61.930446419870286,29.68820217799505,-22.27,2379.857985418597,-14.7,2035,2026
063,Kit Carson County,3794.0,7023.0,-2.1135291412869077,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2972.159829063618,2992.256218376387,3029.593037660059,3068.0827391928997,3109.7509329318327,3146.62670557161,3168.0324856370303,3069.2458294684384,51.831718093129666,82.97908687324626,-19.13,3322.4480851147646,-12.43,2035,2026
119,Teller County,14712.0,24825.0,0.5492512578034179,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,11662.860056894473,11744.533198722276,11894.47669074796,12060.915185671147,12215.076185000027,12367.556320928988,12456.69288502604,12059.21439634387,331.72133266485037,174.31680593865622,-18.02,12997.296781515022,-11.66,2035,2026
109,Saguache County,3652.0,6580.0,-0.24943452433879879,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2905.861414900689,2926.6334219470687,2958.8008255131613,2998.720503952949,3038.316310614733,3075.69997805024,3096.9361731217537,2999.4058751276075,73.169275073184,51.21238958167122,-17.89,3265.859320083646,-10.57,2035,2026
055,Huerfano County,3460.0,6972.0,-0.2461241748793033,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2754.9962902783404,2773.900677634471,2805.3941857195896,2842.837465386147,2883.359575405262,2914.3224708323232,2932.8023374112486,2844.3445152466975,70.77890052234845,36.98724714688278,-17.84,3142.9020634759763,-9.16,2035,2026
091,Ouray County,2628.0,5087.0,0.263038249092484,0.5,08,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2099.4280521817946,2118.093237328648,2145.316787202544,2174.3791912230954,2204.6474165547306,2230.8454296072364,2247.678870168853,2174.711112157612,62.54033248718267,23.895631650438098,-17.26,2409.5431616827595,-8.31,2035,2026
