county_fips,county_name,workforce_base,pop_total_base,mig_mean_pct,mig_std_pct,state_fips,estimate_type,acs_overlap_note,wf_end_p5,wf_end_p10,wf_end_p25,wf_end_p50,wf_end_p75,wf_end_p90,wf_end_p95,wf_end_mean,annual_retirements_end,annual_entries_end,pct_change_end,wf_mid_p50,pct_change_mid,forecast_end_year,forecast_start_year
025,Cimarron County,1158.0,2218.0,-3.0912163333764013,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,794.5540109574662,800.7345792778314,809.556231930036,820.8664095159074,831.4218539179942,841.548431196754,848.0481645804142,820.8122782802021,13.55927497453643,19.226027338403096,-29.11,942.1961547823396,-18.64,2035,2026
055,Greer County,3458.0,5489.0,-0.8719733338359407,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2737.9374073790896,2757.403281991983,2788.5264753729757,2826.1354750132436,2864.8786909435034,2899.1183860517763,2918.4965186695254,2827.1648733474026,57.94848966496238,52.25508633737565,-18.27,3067.7761205573365,-11.28,2035,2026
075,Kiowa County,4658.0,8383.0,-1.159967212104363,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,3701.9580660865986,3725.361892527916,3768.97865292414,3818.824135703545,3868.941039362456,3912.0605115193903,3938.9580729120153,3819.343821330367,79.1064900304871,94.1415040616742,-18.02,4095.2029972445334,-12.08,2035,2026
091,McIntosh County,10581.0,19400.0,-0.6813753525095059,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,8450.94463968488,8506.226012509607,8612.388480190075,8722.314189843746,8835.798092866817,8943.24329918437,9001.76657360276,8724.361613388875,199.19377127485728,176.9315291531915,-17.57,9437.35836287108,-10.81,2035,2026
077,Latimer County,5325.0,9518.0,-1.2581593646105564,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,4266.145608455376,4295.419291114855,4349.1604194053525,4408.56548538321,4466.544710467726,4522.505866540812,4556.958463661795,4408.861653328638,82.23531170005604,95.85065374939285,-17.21,4750.374005377422,-10.79,2035,2026
033,Cotton County,3136.0,5485.0,-0.9529765422621076,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2563.2153231963052,2581.1517004573193,2611.2496020059866,2642.947614641073,2677.2471163801847,2709.3448297122045,2727.005555947779,2644.132399149126,58.19112577900873,55.471194946385694,-15.72,2861.72465579057,-8.75,2035,2026
007,Beaver County,2784.0,5028.0,-1.5433291370505202,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2291.540999008761,2305.5448812774252,2334.3095226470346,2365.9469712827367,2396.3459434086744,2426.5371764840006,2445.63328247735,2366.2466446452504,44.19765617752236,55.14607931262345,-15.02,2550.286613066916,-8.39,2035,2026
129,Roger Mills County,1793.0,3359.0,-1.1531707753854596,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1483.3393444933215,1492.759859756568,1512.404070858001,1532.9703328668706,1553.6558044107337,1571.235637925406,1581.1964583127613,1532.86460528852,28.752669978983004,37.94345415636736,-14.5,1619.1420902061525,-9.7,2035,2026
141,Tillman County,3864.0,6910.0,-1.09010429922809,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,3211.5226955452067,3233.1976986921,3272.0226090630395,3317.2745904153817,3361.5083269850425,3400.8292453141876,3424.98377001903,3316.994765869888,65.61665219387739,71.8679348188823,-14.15,3559.015462099804,-7.89,2035,2026
029,Coal County,2934.0,5320.0,-1.0739744392463284,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2450.466420887615,2468.9503097776146,2498.692197024626,2532.537627180615,2567.7811655413298,2597.6585380496026,2616.042251999724,2533.242245174825,46.74747033488411,58.30767917080168,-13.68,2691.2820764701496,-8.27,2035,2026
127,Pushmataha County,6028.0,10790.0,-0.4504322011727349,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,5042.960557276222,5079.340013411613,5137.598361339997,5206.87804218331,5272.921209493417,5335.773171799495,5373.664226245661,5206.965064062716,110.59175662235134,106.57653693267808,-13.62,5506.988717845221,-8.64,2035,2026
067,Jefferson County,2907.0,5380.0,-1.1503734822452265,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,2437.3744728349748,2452.776319713638,2481.3821464770003,2514.611352361302,2545.6300869720035,2575.203307370724,2592.448199334943,2514.237300968298,48.410244005629636,61.60752825234331,-13.5,2653.822287244139,-8.71,2035,2026
009,Beckham County,13675.0,22148.0,-1.1382864455487867,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,11472.47747132116,11556.852725031567,11696.092787810107,11854.392783859434,12027.110007068684,12174.449430890169,12259.09934285531,11862.176911103277,192.4697384461765,235.7738811078717,-13.31,12602.473511819178,-7.84,2035,2026
063,Hughes County,7983.0,13389.0,-0.8222705845300607,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,6758.600970526181,6804.996063516873,6884.271259483401,6975.232432532495,7071.987660934261,7158.296982085581,7209.225134955763,6977.1471677524905,126.31559402939499,133.4826097703804,-12.62,7409.20895368038,-7.19,2035,2026
045,Ellis County,2013.0,3683.0,-0.9015529207486831,0.5,40,ACS 5-year,ACS 5-year vintage rows are overlapping period estimates,1705.6052735707115,1716.1719855326605,1736.6220636009396,1760.1462737791294,1784.885334533211,1807.2960568587807,1819.767374651985,1761.0189556267123,34.17751019204411,34.317823096358865,-12.56,1885.1702370170285,-6.35,2035,2026
